Origin Time:2017/05/16 07:12:54
Lon:121.43°E
Lat:23.28°N
Depth:24.9km
Mag:5.7
Stacode=ECB ,Staname=長濱  ,Stalon=121.45,Stalat=23.32,Dist=   4.47,AZ=204.85,PGA(V)=  87.33,PGA(NS)= 171.19,PGA(EW)= 231.91
Stacode=ENA ,Staname=南澳  ,Stalon=121.75,Stalat=24.43,Dist= 130.96,AZ=194.24,PGA(V)=   0.66,PGA(NS)=   1.38,PGA(EW)=   1.44
Stacode=WTC ,Staname=大城  ,Stalon=120.29,Stalat=23.86,Dist= 133.35,AZ=118.89,PGA(V)=   1.08,PGA(NS)=   3.35,PGA(EW)=   2.09
Stacode=TWQ1,Staname=鯉魚潭,Stalon=120.78,Stalat=24.35,Dist= 135.55,AZ=150.65,PGA(V)=   1.14,PGA(NS)=   2.93,PGA(EW)=   1.91
Stacode=LAY ,Staname=蘭嶼  ,Stalon=121.56,Stalat=22.04,Dist= 138.18,AZ=354.65,PGA(V)=   0.78,PGA(NS)=   3.47,PGA(EW)=   3.23
Stacode=SCK ,Staname=七股  ,Stalon=120.09,Stalat=23.15,Dist= 138.60,AZ= 83.91,PGA(V)=   0.66,PGA(NS)=  10.59,PGA(EW)=   4.61
Stacode=KAU ,Staname=高雄市,Stalon=120.32,Stalat=22.57,Dist= 139.17,AZ= 55.41,PGA(V)=   1.26,PGA(NS)=   2.63,PGA(EW)=   2.63
Stacode=WYP ,Staname=外埔  ,Stalon=120.65,Stalat=24.33,Dist= 141.15,AZ=145.76,PGA(V)=   0.84,PGA(NS)=   1.79,PGA(EW)=   1.26
Stacode=NSY ,Staname=三義  ,Stalon=120.77,Stalat=24.41,Dist= 142.68,AZ=151.73,PGA(V)=   1.02,PGA(NS)=   2.51,PGA(EW)=   1.91
Stacode=NSD ,Staname=獅潭  ,Stalon=120.92,Stalat=24.54,Dist= 149.01,AZ=159.52,PGA(V)=   0.78,PGA(NS)=   0.90,PGA(EW)=   1.38
Stacode=WLC ,Staname=小琉球,Stalon=120.37,Stalat=22.35,Dist= 150.31,AZ= 46.58,PGA(V)=   0.36,PGA(NS)=   0.90,PGA(EW)=   1.20
Stacode=ENT ,Staname=牛鬥  ,Stalon=121.57,Stalat=24.64,Dist= 151.05,AZ=185.45,PGA(V)=   0.42,PGA(NS)=   1.44,PGA(EW)=   0.96
Stacode=NML ,Staname=苗栗市,Stalon=120.83,Stalat=24.57,Dist= 155.19,AZ=156.53,PGA(V)=   0.60,PGA(NS)=   0.84,PGA(EW)=   0.96
Stacode=HEN ,Staname=恆春  ,Stalon=120.75,Stalat=22.00,Dist= 157.95,AZ= 26.55,PGA(V)=   0.48,PGA(NS)=   1.44,PGA(EW)=   0.90
Stacode=NLD ,Staname=羅東  ,Stalon=121.77,Stalat=24.67,Dist= 158.18,AZ=192.63,PGA(V)=   0.84,PGA(NS)=   0.84,PGA(EW)=   1.20
Stacode=SEB ,Staname=鵝鑾鼻,Stalon=120.86,Stalat=21.90,Dist= 163.83,AZ= 21.25,PGA(V)=   0.48,PGA(NS)=   0.84,PGA(EW)=   0.96
Stacode=NJD ,Staname=竹東  ,Stalon=121.09,Stalat=24.74,Dist= 165.04,AZ=167.73,PGA(V)=   0.54,PGA(NS)=   1.38,PGA(EW)=   1.38
Stacode=NJN ,Staname=竹南  ,Stalon=120.87,Stalat=24.68,Dist= 165.69,AZ=159.79,PGA(V)=   0.66,PGA(NS)=   1.44,PGA(EW)=   1.68
Stacode=PNG ,Staname=馬公市,Stalon=119.56,Stalat=23.57,Dist= 193.62,AZ= 99.39,PGA(V)=   0.42,PGA(NS)=   0.72,PGA(EW)=   0.84
